chrom,ID,start,end,strand,nTSS,nTags,tsrwidth
chr1,KLHL17,875964,895964,+,2,23,6
chr1,PLEKHN1,881862,901862,+,2,23,6
chr1,PERM1,890578,910578,-,2,23,6
chr1,HES4,914344,934344,-,1,12,1
chr1,ISG15,928877,948877,+,2,37,5
chr1,ISG15,928877,948877,+,1,12,1
chr1,ISG15,928877,948877,+,2,81,3
chr1,AGRN,949373,969373,+,1,40,1
chr1,TNFRSF4,1126720,1146720,-,2,36,2
chr1,SDF4,1132311,1152311,-,2,36,2
chr1,SDF4,1132311,1152311,-,2,27,2
chr1,B3GALT6,1147617,1167617,+,18,643,26
chr1,B3GALT6,1147617,1167617,+,1,11,1
chr1,C1QTNF12,1157833,1177833,-,18,643,26
chr1,C1QTNF12,1157833,1177833,-,1,11,1
chr1,SCNN1D,1195816,1215816,+,5,99,28
chr1,ACAP3,1207771,1227771,-,5,99,28
chr1,CPTP,1240182,1260182,+,1,18,1
chr1,CPTP,1240182,1260182,+,5,93,25
chr1,TAS1R3,1246660,1266660,+,1,18,1
chr1,TAS1R3,1246660,1266660,+,5,93,25
chr1,DVL1,1250658,1270658,-,1,18,1
chr1,DVL1,1250658,1270658,-,5,93,25
chr1,MXRA8,1268071,1288071,-,1,11,1
chr1,AURKAIP1,1289116,1309116,-,21,1085,36
chr1,CCNL2,1307668,1327668,-,11,172,44
chr1,MRPL20,1317289,1337289,-,4,90,15
chr1,ANKRD65,1333800,1353800,-,2,99,2
chr1,ANKRD65,1333800,1353800,-,4,90,15
chr1,ANKRD65,1333800,1353800,-,11,232,60
chr1,TMEM88B,1341508,1361508,+,2,99,2
chr1,TMEM88B,1341508,1361508,+,2,37,2
chr1,TMEM88B,1341508,1361508,+,11,232,60
chr1,VWA1,1351070,1371070,+,2,37,2
chr1,ATAD3A,1427910,1447910,+,2,21,10
chr1,ATAD3A,1427910,1447910,+,1,25,1
chr1,MIB2,1531235,1551235,+,1,12,1
chr1,GNB1,1696725,1716725,-,2,34,26
chr1,SKI,2139758,2159758,+,2,81,3
chr1,PEX10,2316241,2336241,-,18,334,36
chr1,HES5,2440184,2460184,-,1,19,1
chr1,ARHGEF16,3351229,3371229,+,3,77,4
chr1,CCDC27,3649014,3669014,+,1,11,1
chr1,LRRC47,3675123,3695123,-,1,14,1
chr1,CEP104,3708650,3728650,-,2,22,4
chr1,DFFB,3754040,3774040,+,1,12,1
chr1,RNF207,6246179,6266179,+,18,3328,31
chr1,HES3,6284239,6304239,+,5,70,55
chr1,GPR153,6287413,6307413,-,5,70,55
chr1,TAS1R1,6595367,6615367,+,1,23,1
chr1,PHF13,6653791,6673791,+,2,24,6
chr1,PHF13,6653791,6673791,+,1,40,1
chr1,PHF13,6653791,6673791,+,1,11,1
chr1,THAP3,6665210,6685210,+,1,11,1
chr1,PER3,7824489,7844489,+,9,220,73
chr1,H6PD,9279906,9299906,+,2,32,4
chr1,SLC25A33,9579524,9599524,+,1,72,1
chr1,TMEM201,9628969,9648969,+,8,1112,8
chr1,PIK3CD,9731525,9751525,+,1,15,1
chr1,NMNAT1,9983533,10003533,+,1,12,1
chr1,NMNAT1,9983533,10003533,+,1,10,1
chr1,CENPS,10470490,10490490,+,1,34,1
chr1,CENPS-CORT,10470807,10490807,+,1,34,1
chr1,EXOSC10,11106675,11126675,-,5,100,72
chr1,MTOR,11146592,11166592,-,1,20,1
chr1,DRAXIN,11731767,11751767,+,2,31,4
chr1,AGTRAP,11776193,11796193,+,1,15,1
chr1,MTHFR,11825787,11845787,-,2,227,2
chr1,KIAA2013,11959648,11979648,-,4,312,5
chr1,KIAA2013,11959648,11979648,-,1,28,1
chr1,CELA2A,15763227,15783227,+,1,11,1
chr1,FBLIM1,16070994,16090994,+,1,14,1
chr1,ZBTB17,16248364,16268364,-,3,44,3
chr1,CLCNKA,16328531,16348531,+,3,87,4
chr1,NECAP2,16747219,16767219,+,4,144,7
chr1,CROCC,17228426,17248426,+,4,109,7
chr1,ATP13A2,17292453,17312453,-,44,2434,49
chr1,PADI2,17373256,17393256,-,3,115,5
chr1,IFFO2,19210774,19230774,-,1,13,1
chr1,EMC1,19522154,19542154,-,2,20,2
chr1,EMC1,19522154,19542154,-,10,255,14
chr1,MRTO4,19558299,19578299,+,1,17,1
chr1,MRTO4,19558299,19578299,+,6,109,8
chr1,SLC66A1,19618820,19638820,+,1,16,1
chr1,SLC66A1,19618820,19638820,+,6,154,35
chr1,NBL1,19954104,19974104,+,20,769,53
chr1,NBL1,19954104,19974104,+,1,12,1
chr1,MUL1,20805941,20825941,-,1,13,1
chr1,MUL1,20805941,20825941,-,6,95,34
chr1,MUL1,20805941,20825941,-,1,23,1
chr1,MUL1,20805941,20825941,-,15,409,47
chr1,DDOST,20958260,20978260,-,2,23,21
chr1,KIF17,20970507,20990507,-,27,919,44
chr1,KIF17,20970507,20990507,-,1,19,1
chr1,KIF17,20970507,20990507,-,1,13,1
chr1,EPHB2,23017332,23037332,+,2,38,2
chr1,ZNF436,23665941,23685941,-,3,53,8
chr1,MDS2,23933824,23953824,+,1,17,1
chr1,PITHD1,24084908,24104908,+,1,31,1
chr1,LYPLA2,24097635,24117635,+,1,31,1
chr1,GALE,24102089,24122089,-,1,31,1
chr1,HMGCL,24108375,24128375,-,1,11,1
chr1,FUCA1,24151567,24171567,-,1,21,1
chr1,SRSF10,24270837,24290837,-,5,103,9
chr1,SRRM1,24950070,24970070,+,1,13,1
chr1,CLIC4,25051938,25071938,+,2,40,4
chr1,RSRP1,25548740,25568740,-,4,129,21
chr1,CNKSR1,26483982,26503982,+,2,39,20
chr1,UBXN11,26588773,26608773,-,51,2833,96
chr1,UBXN11,26588773,26608773,-,1,13,1
chr1,CD52,26624449,26644449,+,1,11,1
chr1,CRYBG2,26628350,26648350,-,1,11,1
chr1,HMGN2,26778931,26798931,+,1,27,1
chr1,GPATCH3,27196979,27216979,-,2,36,10
chr1,TRNP1,27300183,27320183,+,1,42,1
chr1,TENT5B,27311511,27331511,-,1,42,1
chr1,SYTL1,27648513,27668513,+,1,22,1
chr1,FGR,27918800,27938800,-,1,15,1
chr1,SMPDL3B,28241511,28261511,+,2,36,7
chr1,ATP5IF1,28542635,28562635,+,2,24,4
chr1,RCC1,28824738,28844738,+,5,243,10
chr1,RCC1,28824738,28844738,+,5,187,24
chr1,RCC1,28824738,28844738,+,1,17,1
chr1,RCC1,28824738,28844738,+,1,13,1
